Product Name,Brand,Price,Rating,Review Count,Adjusted Score
Sh**ty Day Eau de Parfum,NOYZ ,$85.00,4.4,314,4.31
Irresistible Eau De Toilette Fraiche,Givenchy ,$105.00 - $126.00,4.7,2290,4.67
Translucence Three Hair Perfume,KRISTIN ESS HAIR ,$19.00,4.7,74,4.32
Pure Poison Eau de Parfum,Dior ,$138.00,4.3,117,4.18
Chai Épicé Eau De Parfum,LE MONDE GOURMAND ,$25.00,4.4,80,4.2
My Happy Cookies & Kisses Perfume Spray,Clinique ,$35.00,4.1,178,4.08
Vanilla Baby Eau de Parfum,Truly ,$59.00,4.3,31,4.11
My Happy Indigo Mist Perfume Spray,Clinique ,$35.00,4.5,70,4.23
Guilty Absolute Pour Femme Eau de Parfum,Gucci ,$103.00 - $142.00,4.6,247,4.44
Lady Million Eau de Parfum,Rabanne ,$86.00 - $122.00,4.2,5,4.05
Chloé Eau de Parfum Naturelle,Chloé ,$138.00,,0,
Alien Goddess Supra Florale Eau de Parfum,MUGLER ,$150.00 - $185.00,4.6,655,4.53
Dolce Violet Eau de Toilette,Dolce&Gabbana ,$105.00 - $131.00,4.2,445,4.17
La Vie Est Belle Iris Absolu Eau De Parfum,Lancôme ,$132.00 - $163.00,4.6,2827,4.58
N°5 EAU PREMIÈRE Eau de Parfum Spray,CHANEL ,$176.00,4.3,18,4.09
Classic Skin Eau de Parfum,Clean ,$44.00 - $74.00,4.5,49,4.2
Unconditional Love Eau de Toilette,Philosophy ,$60.00,4.6,447,4.5
Wild Poppy Eau de Parfum,NEST New York ,$92.00,4.9,70,4.4
Black Tulip Eau de Parfum,NEST New York ,$92.00,4.8,154,4.5
Pistachio Brûlée Eau De Parfum,LE MONDE GOURMAND ,$25.00,3.8,50,3.96
Stella Eau de Parfum,TOCCA ,$86.00,,0,
Colette Eau de Parfum,TOCCA ,$86.00,,0,
Juicy Couture Eau de Parfum,Juicy Couture ,$111.00,4.6,197,4.41
Organza Eau de Parfum,Givenchy ,$125.00 - $154.00,4.6,74,4.28
SALT Eau de Parfum,Ellis Brooklyn ,$115.00,4.2,39,4.09
La Vie Est Belle Soleil Cristal Eau de Parfum,Lancôme ,$125.00 - $155.00,4.6,761,4.54
Turkish Rose Perfume Oil,NEST New York ,$102.00,4.7,239,4.51
Classic Vanilla Cloud Limited Edition,Clean ,$44.00,4.2,11,4.06
Giulietta Eau de Parfum,TOCCA ,$86.00,,0,
Musk Amber Fragrance Oil,Nemat ,$20.99,4.3,7,4.06
Amazing Grace Jasmine Eau de Toilette,Philosophy ,$64.00,4.4,701,4.36
Bronze Goddess Eau Fraîche Skinscent Perfume Spray,Estée Lauder ,$67.20,3.9,136,3.96
VANILLA MILK Eau de Parfum,Ellis Brooklyn ,$25.00 - $115.00,,0,
Lost + Found Eau De Parfum,NOYZ ,$85.00,4.5,314,4.39
Malibu Night Eau de Toilette,DIME ,$52.00,4.8,1403,4.75
Luxury Fragrance Wardrobe,TOCCA ,$68.00,3.5,6,4.02
Clinique My Happy Lily of the Beach,Clinique ,$35.00,4.5,95,4.27
Lychee Rose Eau de Parfum,NEST New York ,$92.00,4.2,22,4.07
MYTH Eau de Parfum,Ellis Brooklyn ,$25.00 - $115.00,4.6,58,4.25
Cleopatra Eau de Parfum,TOCCA ,$86.00,4.7,7,4.09
Montana Sky Spray Perfume,Pacifica ,$6.75,3.8,27,3.99
Indian Jasmine Perfume Oil,NEST New York ,$102.00,4.7,75,4.33
Cinnabar Eau de Parfum Fragrance Spray,Estée Lauder ,$60.00,4.2,318,4.16
L'Interdit Absolu Eau de Parfum Intense,Givenchy ,$160.00,4.5,273,4.38
Red Door Eau de Toilette,Elizabeth Arden ,$45.00 - $88.00,4.2,63,4.11
Pirette Eau de Parfum,Pirette ,$78.00,4.5,24,4.13
Egyptian Musk Fragrance Oil,Nemat ,$20.99,4.3,14,4.08
Dolce Lily Eau de Toilette,Dolce&Gabbana ,$131.00,4.2,50,4.1
Balinese Coconut Perfume Oil,NEST New York ,$102.00,4.4,60,4.18
My Way Parfum,ARMANI ,$118.00 - $195.00,4.4,943,4.37
Bronze Goddess Eau Fraîche Fragrance Spray,Estée Lauder ,$78.40,3.9,136,3.96
Santal Supreme Eau De Parfum,LE MONDE GOURMAND ,$25.00,4.1,28,4.06
Classic Warm Cotton Eau de Parfum,Clean ,$44.00 - $74.00,3.9,43,4.0
White Musk Fragrance Oil,Nemat ,$20.99,3.2,21,3.9
